ax	ay	az
-0.15470886	9.575073	1.9222565
-0.1451416	9.587036	1.8720093
-0.14753723	9.591827	1.8385162
-0.13557434	9.599014	1.8121948
-0.13796997	9.599014	1.7906494
-0.1451416	9.601395	1.7786865
-0.1451416	9.599014	1.7715149
-0.14753723	9.596619	1.7858734
-0.15232849	9.591827	1.8217621
-0.1451416	9.5798645	1.8839722
-0.1403656	9.570297	1.9437866
-0.13796997	9.56073	1.9988251
-0.12838745	9.553543	2.0442963
-0.12838745	9.548752	2.0777893
-0.12121582	9.548752	2.0993347
-0.12361145	9.548752	2.1160736
-0.12600708	9.546371	2.1160736
-0.13078308	9.553543	2.0945435
-0.13317871	9.555939	2.0706177
-0.13557434	9.558334	2.0490723
-0.13796997	9.56073	2.0227509
-0.1403656	9.565506	1.9892578
-0.14274597	9.567902	1.9605408
-0.14274597	9.567902	1.9533691
-0.13796997	9.565506	1.970108
-0.12838745	9.565506	1.9892578
-0.12838745	9.565506	1.9964294
-0.12838745	9.56311	1.9964294
-0.12838745	9.56073	2.0036163
-0.12600708	9.56073	2.0036163
-0.12600708	9.56311	1.9964294
-0.12121582	9.565506	1.9820862
-0.12838745	9.570297	1.970108
-0.13317871	9.575073	1.9581451
-0.13078308	9.577469	1.9533691
-0.13317871	9.577469	1.9437866
-0.13078308	9.577469	1.9437866
-0.12838745	9.575073	1.9437866
-0.12361145	9.577469	1.9461823
-0.12361145	9.577469	1.9509735
-0.12121582	9.575073	1.9581451
-0.11642456	9.575073	1.9748993
-0.12121582	9.572693	1.9892578
-0.11404419	9.572693	1.9964294
-0.11882019	9.570297	2.0036163
-0.11882019	9.570297	2.0012207
-0.11882019	9.572693	1.9964294
-0.11164856	9.575073	1.9868622
-0.11404419	9.577469	1.970108
-0.11882019	9.577469	1.9533691
-0.11882019	9.577469	1.9461823
-0.12361145	9.58226	1.9318237
-0.12361145	9.58226	1.9246521
-0.12600708	9.58226	1.9222565
-0.11404419	9.58226	1.9270477
-0.10925293	9.5798645	1.9461823
-0.10446167	9.577469	1.9533691
-0.1068573	9.577469	1.9509735
-0.1068573	9.575073	1.9485779
-0.1068573	9.575073	1.9437866
-0.1068573	9.577469	1.9414062
-0.1068573	9.5798645	1.9390106
-0.10925293	9.5798645	1.9342194
-0.10925293	9.5798645	1.9270477
-0.11164856	9.5798645	1.9174805
-0.11404419	9.584656	1.907898
-0.11404419	9.584656	1.9055023
-0.10925293	9.584656	1.9102936
-0.10446167	9.587036	1.9198608
-0.10446167	9.587036	1.9342194
-0.09968567	9.584656	1.9485779
-0.09729004	9.577469	1.9629364
-0.10206604	9.577469	1.9605408
-0.10446167	9.5798645	1.9557648
-0.10446167	9.5798645	1.9509735
-0.10206604	9.584656	1.9461823
-0.10446167	9.584656	1.9390106
-0.10925293	9.584656	1.936615
-0.11404419	9.584656	1.9294434
-0.11404419	9.584656	1.9270477
-0.11882019	9.5798645	1.9318237
-0.11882019	9.5798645	1.9414062
-0.1068573	9.5798645	1.9509735
-0.08772278	9.58226	1.9629364
-0.09010315	9.58226	1.9629364
-0.09489441	9.58226	1.9629364
-0.10206604	9.577469	1.965332
-0.10206604	9.5798645	1.9677277
-0.10446167	9.577469	1.9677277
-0.1068573	9.5798645	1.970108
-0.1068573	9.5798645	1.9748993
-0.09968567	9.577469	1.9844666
-0.09010315	9.577469	1.9940491
-0.08772278	9.577469	1.9988251
-0.09010315	9.575073	1.9892578
-0.09010315	9.575073	1.9820862
-0.08053589	9.577469	1.9772949
-0.08293152	9.577469	1.9725037
-0.08532715	9.58226	1.9509735
-0.08532715	9.584656	1.9342194
-0.08772278	9.587036	1.9222565
-0.08772278	9.587036	1.9222565
-0.09010315	9.587036	1.9270477
-0.09010315	9.584656	1.9318237
-0.08532715	9.584656	1.9461823
-0.08772278	9.584656	1.9485779
-0.08532715	9.58226	1.9342194
-0.07814026	9.584656	1.9174805
-0.08293152	9.587036	1.895935
-0.08293152	9.591827	1.867218
-0.08772278	9.591827	1.867218
-0.08293152	9.594223	1.8839722
-0.09010315	9.596619	1.891159
-0.09010315	9.599014	1.891159
-0.09010315	9.601395	1.9007263
-0.08772278	9.599014	1.907898
-0.09249878	9.599014	1.9055023
-0.09249878	9.596619	1.895935
-0.08053589	9.594223	1.903122
-0.07096863	9.596619	1.9126892
-0.068573	9.596619	1.9150848
-0.07336426	9.596619	1.903122
-0.07574463	9.599014	1.8983307
-0.08053589	9.596619	1.8983307
-0.07336426	9.596619	1.8935394
-0.07336426	9.596619	1.8839722
-0.068573	9.596619	1.8768005
-0.056610107	9.601395	1.867218
-0.056610107	9.608582	1.8576508
-0.059005737	9.608582	1.8480835
-0.06617737	9.608582	1.8432922
-0.068573	9.60379	1.8504791
-0.07574463	9.606186	1.8648376
-0.07814026	9.601395	1.8815765
-0.068573	9.599014	1.8983307
-0.068573	9.591827	1.9222565
-0.059005737	9.591827	1.9342194
-0.054214478	9.591827	1.936615
-0.056610107	9.591827	1.9318237
-0.06378174	9.591827	1.9198608
-0.068573	9.589432	1.9102936
-0.07574463	9.589432	1.9150848
-0.07814026	9.587036	1.9318237
-0.07574463	9.587036	1.9533691
-0.07336426	9.589432	1.9605408
-0.07096863	9.587036	1.965332
-0.06378174	9.584656	1.9557648
