sensor	time	ax	ay	az
1	17	1580	-300	15720
2	17	-460	176	22956
1	27	1708	-264	15572
2	27	-500	300	22916
1	37	1592	-180	15748
2	37	-544	308	23080
1	47	1668	-344	15640
2	47	-544	424	23048
1	57	1584	-232	15568
2	57	-484	312	22884
1	67	1772	-288	15772
2	67	-560	304	22976
1	77	1620	-168	15724
2	77	-500	292	22908
1	87	1604	-364	15692
2	87	-516	256	22940
1	97	1652	-296	15588
2	97	-436	352	22880
1	107	1644	-236	15760
2	107	-456	340	22916
1	117	1536	-292	15708
2	117	-476	288	23124
1	128	1516	-292	15804
2	128	-456	272	22920
1	137	1556	-180	15704
2	137	-484	348	23028
1	147	1548	-328	15700
2	147	-508	316	22960
1	157	1612	-160	15700
2	157	-408	288	23120
1	167	1644	-268	15680
2	167	-580	344	23056
1	177	1604	-348	15620
2	177	-396	324	22872
1	187	1652	-272	15632
2	187	-368	356	23004
1	197	1668	-332	15640
2	197	-556	340	22956
1	207	1600	-300	15712
2	207	-472	284	22952
1	217	1596	-236	15760
2	217	-516	308	23076
1	227	1676	-300	15516
2	227	-488	376	23180
1	237	1600	-356	15700
2	237	-516	376	22968
1	247	1628	-236	15780
2	247	-456	288	22940
1	257	1624	-220	15716
2	257	-476	396	22928
1	267	1572	-232	15568
2	267	-560	364	22796
1	277	1636	-308	15636
2	277	-540	308	22984
1	287	1600	-252	15708
2	287	-496	452	23056
1	297	1592	-256	15756
2	297	-436	280	22988
1	307	1580	-272	15640
2	307	-420	288	23004
1	317	1568	-276	15608
2	317	-500	440	22948
1	327	1636	-328	15720
2	327	-468	332	23028
1	337	1592	-232	15620
2	337	-516	244	22944
1	347	1580	-288	15552
2	347	-464	384	22860
1	357	1600	-224	15796
2	357	-488	256	22936
1	367	1672	-312	15716
2	367	-552	268	22884
1	377	1588	-248	15692
2	377	-392	324	23056
1	387	1720	-148	15836
2	387	-384	324	22904
1	397	1664	-284	15896
2	397	-460	256	22964
1	407	1648	-304	15672
2	407	-460	336	22856
1	417	1524	-216	15716
2	417	-444	356	22956
1	427	1588	-188	15704
2	427	-464	412	22796
1	437	1616	-288	15608
2	437	-516	172	22936
1	447	1660	-264	15684
2	447	-524	280	23076
1	457	1576	-232	15692
2	457	-520	324	23152
1	467	1640	-300	15700
2	467	-612	276	22964
1	477	1636	-320	15720
2	477	-460	392	23000
1	487	1636	-228	15704
2	487	-556	308	23012
1	497	1600	-256	15732
2	497	-500	312	22952
1	507	1580	-212	15688
2	507	-448	452	23008
1	517	1604	-300	15680
2	517	-500	340	23016
1	527	1668	-252	15744
2	527	-512	280	22988
1	537	1744	-272	15560
2	537	-412	348	22864
1	547	1660	-264	15712
2	547	-484	440	22876
1	557	1556	-260	15724
2	557	-568	220	23000
1	567	1568	-320	15712
2	567	-460	384	22804
1	577	1660	-288	15716
2	577	-500	304	22996
1	587	1640	-284	15696
2	587	-488	380	22964
1	598	1596	-304	15756
2	598	-552	388	23016
1	607	1604	-252	15692
2	607	-508	344	23128
1	617	1584	-284	15760
2	617	-408	328	22956
1	627	1636	-228	15660
2	627	-440	420	22984
