header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	24	-268	144	16520	100	-4	16300
[accel]	34	-172	180	16352	20	32	16476
[accel]	44	-228	188	16236	164	-4	16460
[accel]	54	-268	128	16276	0	20	16464
[accel]	64	-236	216	16472	156	24	16448
[accel]	74	-180	124	16444	4	36	16444
[accel]	84	-324	236	16260	192	4	16348
[accel]	94	-152	168	16412	160	-8	16272
[accel]	104	-220	184	16340	96	20	16328
[accel]	114	-212	96	16460	140	4	16336
[accel]	124	-192	208	16488	68	56	16440
[accel]	134	-324	184	16436	72	60	16392
[accel]	144	-252	204	16340	40	-12	16624
[accel]	154	-228	152	16292	196	0	16280
[accel]	164	-192	120	16280	84	64	16432
[accel]	174	-252	176	16372	0	112	16448
[accel]	184	-236	204	16532	44	92	16328
[accel]	194	-340	148	16448	148	-32	16536
[accel]	204	-232	176	16328	88	-44	16516
[accel]	214	-176	100	16192	172	-24	16280
[accel]	224	-196	200	16392	28	12	16448
[accel]	234	-376	136	16468	136	148	16444
[accel]	244	-268	208	16448	180	8	16420
[accel]	254	-296	232	16444	192	-16	16428
[accel]	264	-272	152	16404	148	52	16328
[accel]	274	-176	92	16324	120	28	16572
[accel]	284	-284	188	16312	96	152	16400
[accel]	294	-300	44	16288	132	36	16320
[accel]	304	-328	44	16396	60	104	16280
[accel]	314	-160	164	16284	-36	148	16512
[accel]	324	-164	120	16452	132	100	16360
[accel]	334	-116	172	16520	80	-16	16456
[accel]	344	-172	92	16428	164	40	16360
[accel]	354	-252	264	16372	88	-32	16364
[accel]	364	-212	188	16292	80	100	16392
[accel]	374	-264	64	16304	164	84	16332
[accel]	384	-296	108	16420	128	100	16332
[accel]	394	-288	188	16460	36	36	16488
[accel]	404	-256	184	16348	112	48	16452
[accel]	414	-204	52	16328	48	28	16296
[accel]	424	-164	156	16372	76	-20	16524
[accel]	434	-212	112	16328	120	40	16260
[accel]	444	-196	172	16368	216	16	16492
[accel]	454	-220	184	16296	16	28	16376
[accel]	464	-408	116	16368	44	92	16336
[accel]	474	-284	252	16420	64	56	16344
[accel]	484	-160	180	16460	148	88	16208
[accel]	494	-244	224	16484	16	112	16380
[accel]	504	-360	136	16464	156	124	16472
[accel]	514	-280	108	16408	120	56	16420
[accel]	524	-192	152	16316	48	4	16492
[accel]	534	-200	156	16380	144	16	16448
[accel]	544	-164	148	16276	124	-60	16448
[accel]	555	-316	168	16304	60	132	16344
[accel]	564	-228	208	16348	188	-28	16372
[accel]	574	-260	92	16360	112	56	16460
[accel]	584	-244	48	16236	92	44	16468
[accel]	594	-328	168	16496	92	68	16364
[accel]	604	-208	220	16400	180	96	16388
[accel]	614	-212	64	16344	84	120	16308
[accel]	624	-256	180	16412	104	28	16496
[accel]	634	-284	188	16220	128	108	16320
[accel]	644	-232	196	16328	156	56	16380
[accel]	654	-240	132	16248	196	4	16316
[accel]	664	-212	84	16292	68	0	16320
[accel]	674	-216	160	16564	-16	68	16524
[accel]	684	-304	44	16312	100	116	16188
[accel]	694	-212	132	16436	132	-88	16464
[accel]	704	-228	192	16384	96	64	16328
[accel]	714	-192	80	16432	172	64	16200
[accel]	724	-120	84	16248	120	44	16372
[accel]	734	-352	84	16556	132	96	16440
[accel]	744	-272	160	16436	68	104	16304
[accel]	754	-140	140	16324	52	68	16332
[accel]	764	-264	124	16312	172	-16	16280
[accel]	774	-164	84	16320	88	108	16336
[accel]	784	-152	156	16412	88	-28	16524
[accel]	794	-240	112	16436	52	-52	16352
[accel]	804	-264	268	16464	40	64	16452
[accel]	814	-208	168	16452	108	120	16356
[accel]	824	-224	188	16260	84	12	16260
[accel]	834	-268	72	16472	-92	-12	16464
[accel]	844	-308	128	16456	76	32	16460
[accel]	854	-256	164	16528	0	68	16344
[accel]	864	-220	56	16416	24	20	16468
[accel]	874	-204	220	16288	88	84	16172
[accel]	884	-240	80	16544	104	40	16368
[accel]	894	-304	180	16412	60	132	16336
[accel]	904	-268	192	16276	68	60	16528
[accel]	914	-284	192	16524	56	152	16452
[accel]	924	-288	256	16352	116	12	16312
[accel]	934	-192	236	16320	-36	68	16576
[accel]	944	-160	124	16168	152	36	16236
[accel]	954	-136	140	16288	72	88	16272
[accel]	964	-316	232	16352	76	0	16396
[accel]	974	-212	216	16372	120	-16	16604
[accel]	984	-296	96	16452	16	84	16452
[accel]	994	-340	148	16600	-176	168	16740
[accel]	1004	-320	180	16648	-44	24	16508
[accel]	1014	-336	204	16304	104	40	16144
[accel]	1024	-204	128	16312	112	24	16336
[accel]	1034	-204	228	16232	120	16	16336
[accel]	1044	-248	124	16412	52	116	16596
[accel]	1054	-192	204	16380	176	-16	16436
[accel]	1064	-220	80	16412	132	84	16352
[accel]	1074	-168	184	16500	80	72	16508
[accel]	1084	-228	148	16536	108	8	16404
[accel]	1094	-212	156	16464	100	36	16372
[accel]	1104	-192	144	16316	48	76	16312
[accel]	1114	-244	120	16528	144	112	16648
[accel]	1124	-220	116	16372	48	64	16528
[accel]	1134	-384	132	16452	56	4	16420
[accel]	1144	-232	168	16172	104	-12	16288
[accel]	1154	-236	28	16456	216	44	16476
[accel]	1164	-268	148	16536	108	12	16476
[accel]	1174	-244	256	16444	116	120	16392
[accel]	1184	-228	176	16300	136	28	16428
[accel]	1195	-180	160	16376	-24	88	16436
[accel]	1204	-248	188	16168	116	112	16348
[accel]	1214	-276	128	16344	52	16	16360
[accel]	1224	-332	204	16504	28	84	16468
[accel]	1234	-184	196	16380	136	-8	16224
[accel]	1244	-224	108	16412	-80	44	16368
[accel]	1254	-212	280	16340	8	32	16476
[accel]	1264	-268	84	16308	44	56	16348
[accel]	1274	-276	96	16256	136	-8	16464
[accel]	1284	-144	288	16136	12	132	16292
[accel]	1294	-288	152	16404	16	-100	16460
[accel]	1304	-264	120	16308	68	56	16336
[accel]	1314	-204	168	16224	168	-92	16324
[accel]	1324	-244	92	16380	-12	-64	16404
[accel]	1334	-264	148	16328	156	28	16356
[accel]	1344	-96	236	16280	160	64	16284
[accel]	1354	-352	116	16452	148	56	16412
[accel]	1364	-140	168	16324	28	184	16476
[accel]	1374	-352	92	16368	100	12	16288
[accel]	1384	-316	208	16420	40	112	16524
[accel]	1394	-220	136	16480	180	76	16320
[accel]	1404	-176	216	16320	144	28	16376
[accel]	1414	-184	196	16372	4	156	16380
[accel]	1424	-220	164	16420	60	108	16428
[accel]	1434	-244	304	16436	148	72	16344
[accel]	1444	-272	164	16464	120	80	16440
[accel]	1454	-244	200	16336	120	92	16460
[accel]	1464	-304	124	16356	68	-24	16404
[accel]	1474	-136	132	16428	144	12	16352
[accel]	1484	-200	140	16292	120	-20	16400
[accel]	1494	-272	184	16388	36	-4	16324
[accel]	1504	-332	152	16440	180	44	16420
[accel]	1514	-228	128	16428	32	44	16376
[accel]	1524	-112	128	16436	-16	56	16352
[accel]	1534	-292	152	16380	44	40	16308
[accel]	1544	-168	60	16312	24	48	16204
[accel]	1554	-220	80	16340	116	56	16408
[accel]	1564	-224	76	16444	148	112	16272
[accel]	1574	-228	184	16308	80	108	16400
[accel]	1584	-256	200	16484	184	0	16400
[accel]	1594	-220	192	16364	92	100	16480
[accel]	1604	-252	212	16356	144	-4	16240
[accel]	1614	-232	284	16392	108	104	16236
[accel]	1624	-156	216	16148	104	60	16324
[accel]	1634	-316	164	16356	52	-52	16344
[accel]	1644	-200	228	16328	188	52	16308
[accel]	1654	-224	224	16232	4	44	16392
[accel]	1664	-328	124	16500	252	28	16412
[accel]	1674	-224	180	16396	112	84	16476
[accel]	1684	-212	156	16432	152	20	16376
[accel]	1694	-212	184	16392	116	80	16344
[accel]	1704	-264	136	16444	96	44	16340
[accel]	1714	-276	172	16452	164	-12	16384
[accel]	1724	-204	228	16288	96	40	16320
[accel]	1734	-228	256	16484	132	24	16392
[accel]	1744	-184	156	16364	144	60	16360
[accel]	1754	-296	164	16372	196	120	16348
[accel]	1764	-192	100	16420	176	44	16500
[accel]	1774	-240	228	16316	112	40	16304
[accel]	1784	-260	136	16348	68	12	16368
[accel]	1794	-264	100	16500	116	-44	16484
[accel]	1804	-160	196	16220	92	76	16324
[accel]	1814	-236	148	16424	96	140	16292
[accel]	1824	-220	144	16268	80	68	16344
[accel]	1835	-120	204	16396	116	76	16364
[accel]	1844	-288	172	16376	96	176	16324
[accel]	1854	-264	92	16312	60	152	16416
[accel]	1864	-296	136	16424	80	60	16340
[accel]	1874	-160	96	16380	84	-8	16424
[accel]	1884	-248	148	16272	136	84	16340
[accel]	1894	-308	120	16404	180	92	16260
[accel]	1904	-152	204	16228	104	80	16324
[accel]	1914	-164	220	16532	152	60	16512
[accel]	1924	-224	92	16380	144	0	16176
[accel]	1934	-196	176	16392	92	16	16328
[accel]	1944	-216	188	16376	124	96	16336
[accel]	1954	-204	96	16544	48	8	16376
[accel]	1964	-248	112	16320	72	60	16196
[accel]	1974	-300	56	16544	12	-20	16480
[accel]	1984	-216	192	16264	16	-28	16544
[accel]	1994	-300	172	16460	56	12	16448
[accel]	2004	-184	228	16312	-12	60	16456
[accel]	2014	-128	80	16236	84	76	16404
[accel]	2024	-288	32	16524	-64	36	16372
[accel]	2034	-88	236	16248	152	4	16528
[accel]	2044	-268	144	16448	80	-28	16456
[accel]	2054	-256	148	16336	164	80	16328
[accel]	2064	-180	168	16580	60	124	16492
[accel]	2074	-300	88	16396	148	140	16420
[accel]	2084	-292	56	16352	120	80	16440
[accel]	2094	-200	160	16336	240	60	16372
[accel]	2104	-216	240	16316	160	112	16372
[accel]	2114	-248	240	16428	132	28	16464
[accel]	2124	-288	160	16432	20	76	16252
[accel]	2134	-188	112	16372	0	60	16344
[accel]	2144	-368	164	16280	156	28	16332
[accel]	2154	-316	112	16448	4	136	16412
[accel]	2164	-188	156	16400	16	64	16320
[accel]	2174	-220	140	16264	148	168	16252
[accel]	2184	-128	212	16428	148	96	16380
[accel]	2194	-296	212	16220	164	100	16312
[accel]	2204	-384	120	16568	24	116	16360
[accel]	2214	-228	144	16352	-28	0	16588
[accel]	2224	-192	136	16368	60	36	16388
[accel]	2234	-200	188	16468	176	60	16392
[accel]	2244	-232	184	16388	188	-8	16280
[accel]	2254	-124	164	16396	116	-28	16316
[accel]	2264	-228	204	16292	108	92	16420
[accel]	2274	-368	128	16384	216	-16	16264
[accel]	2284	-156	144	16380	24	100	16588
[accel]	2294	-308	208	16404	252	-48	16400
[accel]	2304	-192	204	16352	104	52	16408
[accel]	2314	-84	116	16128	196	32	16388
[accel]	2324	-272	172	16480	-16	72	16456
[accel]	2334	-248	172	16200	-56	92	16384
[accel]	2344	-324	52	16512	136	-68	16408
[accel]	2354	-296	140	16300	76	140	16472
[accel]	2364	-168	184	16248	168	84	16452
[accel]	2374	-280	156	16312	68	-12	16432
[accel]	2384	-212	160	16272	40	104	16476
[accel]	2394	-236	60	16412	156	4	16548
[accel]	2404	-176	212	16452	-68	-4	16432
[accel]	2414	-168	172	16196	120	44	16412
[accel]	2424	-308	188	16364	-8	140	16472
[accel]	2434	-284	272	16368	52	52	16324
[accel]	2444	-424	132	16520	56	48	16404
[accel]	2454	-272	208	16292	-20	80	16248
[accel]	2464	-284	176	16272	0	-68	16428
[accel]	2475	-256	136	16452	156	20	16424
[accel]	2484	-272	228	16380	76	-8	16432
[accel]	2494	-296	132	16412	88	32	16344
[accel]	2504	-240	148	16304	132	36	16176
[accel]	2514	-276	148	16352	140	-12	16308
[accel]	2524	-264	244	16352	232	116	16268
[accel]	2534	-276	160	16364	100	4	16312
[accel]	2544	-264	168	16304	76	60	16580
[accel]	2554	-256	248	16372	184	88	16328
[accel]	2564	-220	68	16452	92	52	16396
[accel]	2574	-364	80	16316	92	72	16372
[accel]	2584	-244	176	16320	196	56	16396
[accel]	2594	-316	200	16432	152	8	16476
[accel]	2604	-208	196	16412	-32	-4	16256
[accel]	2614	-272	152	16504	40	-36	16336
[accel]	2624	-204	84	16376	-44	40	16404
[accel]	2634	-188	120	16500	112	64	16472
[accel]	2644	-292	96	16292	204	68	16312
[accel]	2654	-264	212	16404	116	68	16388
[accel]	2664	-360	216	16336	164	-16	16456
[accel]	2674	-200	68	16416	92	0	16348
[accel]	2684	-244	132	16360	104	108	16384
[accel]	2694	-200	92	16372	160	76	16272
[accel]	2704	-168	72	16312	72	28	16504
[accel]	2714	-168	196	16356	124	4	16332
[accel]	2724	-280	52	16432	56	40	16428
[accel]	2734	-288	132	16364	-4	96	16524
[accel]	2744	-164	148	16404	48	76	16476
[accel]	2754	-268	196	16328	88	12	16272
[accel]	2764	-192	200	16272	-4	44	16504
[accel]	2774	-268	200	16300	108	68	16340
[accel]	2784	-360	168	16320	136	68	16420
[accel]	2794	-284	208	16380	36	92	16320
[accel]	2804	-304	176	16412	28	24	16292
[accel]	2814	-212	128	16392	32	112	16312
[accel]	2824	-240	80	16256	68	112	16476
[accel]	2834	-200	220	16348	68	32	16328
[accel]	2844	-256	96	16364	128	92	16424
[accel]	2854	-232	124	16316	104	-44	16500
[accel]	2864	-160	84	16428	144	36	16388
