header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	24	-240	-36	16312	-120	180	16420
[accel]	34	-164	0	16396	20	220	16288
[accel]	44	-264	48	16500	-64	260	16448
[accel]	54	-228	32	16420	32	152	16596
[accel]	64	-188	-60	16396	-192	304	16360
[accel]	74	-204	-60	16332	-124	120	16412
[accel]	84	-272	44	16312	-148	268	16496
[accel]	94	-192	8	16380	-188	224	16416
[accel]	104	-172	24	16320	-100	208	16436
[accel]	114	-244	-36	16308	-108	140	16312
[accel]	124	-316	96	16320	-164	180	16356
[accel]	134	-272	8	16248	-136	196	16424
[accel]	144	-204	16	16304	-92	280	16392
[accel]	154	-232	120	16392	-152	288	16384
[accel]	164	-180	-32	16328	-60	164	16572
[accel]	174	-196	56	16216	-96	176	16472
[accel]	184	-164	-32	16388	-60	280	16436
[accel]	194	-244	48	16312	-144	220	16292
[accel]	204	-148	8	16360	-44	368	16368
[accel]	214	-176	0	16324	-160	252	16312
[accel]	224	-328	48	16372	-140	148	16440
[accel]	234	-168	-8	16364	-100	240	16444
[accel]	244	-192	40	16360	-96	144	16336
[accel]	254	-228	36	16344	-96	160	16388
[accel]	264	-228	36	16348	-76	160	16424
[accel]	274	-176	-48	16464	-160	192	16332
[accel]	284	-248	-28	16372	-96	196	16412
[accel]	294	-140	36	16332	-112	156	16480
[accel]	304	-168	-16	16276	-120	100	16376
[accel]	314	-224	8	16372	-132	196	16336
[accel]	324	-196	8	16328	20	144	16388
[accel]	334	-252	60	16400	-80	192	16400
[accel]	344	-156	-4	16412	-80	220	16296
[accel]	354	-152	12	16372	-100	268	16428
[accel]	364	-216	-12	16340	-132	216	16588
[accel]	374	-292	-20	16448	-128	252	16632
[accel]	384	-272	20	16368	-148	256	16492
[accel]	394	-148	36	16396	-184	180	16272
[accel]	404	-284	28	16432	-116	316	16364
[accel]	414	-168	8	16348	-128	256	16464
[accel]	424	-260	-8	16300	-184	180	16404
[accel]	434	-256	0	16484	-108	128	16456
[accel]	444	-168	36	16468	-156	300	16236
[accel]	454	-288	-76	16320	-84	236	16464
[accel]	464	-172	-76	16360	-124	148	16460
[accel]	474	-92	24	16372	-56	216	16484
[accel]	484	-264	72	16312	-100	192	16456
[accel]	494	-232	4	16408	-60	264	16456
[accel]	504	-280	-20	16384	-80	140	16500
[accel]	514	-252	36	16404	-116	132	16376
[accel]	524	-244	4	16356	-136	284	16200
[accel]	534	-140	68	16184	-108	184	16396
[accel]	544	-152	-12	16412	-160	224	16536
[accel]	555	-84	64	16336	-112	176	16432
[accel]	564	-296	136	16244	-96	200	16480
[accel]	574	-280	-56	16432	-36	192	16452
[accel]	584	-232	-40	16328	-100	200	16548
[accel]	594	-120	-44	16356	-144	144	16384
[accel]	604	-208	56	16464	-132	192	16372
[accel]	614	-268	-60	16500	-268	216	16344
[accel]	624	-272	120	16256	-136	268	16288
[accel]	634	-136	56	16500	-100	192	16332
[accel]	644	-188	80	16356	-236	256	16528
[accel]	654	-192	-24	16312	-108	200	16356
[accel]	664	-220	-4	16368	-64	132	16392
[accel]	674	-244	4	16360	-8	228	16392
[accel]	684	-200	120	16336	-176	296	16424
[accel]	694	-200	132	16316	-184	184	16440
[accel]	704	-128	28	16328	-164	148	16516
[accel]	714	-224	-108	16364	-128	108	16340
[accel]	724	-160	-40	16388	-68	276	16468
[accel]	734	-104	-8	16284	-128	176	16288
[accel]	744	-296	-56	16264	-108	216	16444
[accel]	754	-228	4	16476	-148	172	16420
[accel]	764	-300	-56	16352	-92	152	16516
[accel]	774	-136	76	16436	-104	252	16508
[accel]	784	-180	-44	16312	-124	208	16504
[accel]	794	-216	28	16400	-212	180	16352
[accel]	804	-188	0	16256	-96	220	16416
[accel]	814	-220	80	16412	-140	88	16332
[accel]	824	-132	-16	16424	-184	272	16556
[accel]	834	-180	-24	16320	-144	288	16564
[accel]	844	-220	-44	16468	-144	300	16352
[accel]	854	-236	-80	16284	-128	88	16412
[accel]	864	-148	92	16416	-112	240	16440
[accel]	874	-168	-76	16304	-172	168	16392
[accel]	884	-148	-24	16436	-148	188	16432
[accel]	894	-152	16	16304	-164	244	16508
[accel]	904	-280	80	16440	-164	172	16504
[accel]	914	-288	68	16240	-176	164	16392
[accel]	924	-256	24	16324	-56	208	16388
[accel]	934	-224	-44	16264	-164	184	16492
[accel]	944	-216	92	16436	-64	100	16324
